"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3230","TC21: Upload an image file and verify filename","","Mon Oct 13 14:29:57 IST 2025","passed","Mon Oct 13 14:30:00 IST 2025","QA Playground Full Automation Sequence","","",""
"","4000","TC04: Spider-Man real name remains correct after shuffle","","Mon Oct 13 14:29:41 IST 2025","passed","Mon Oct 13 14:29:45 IST 2025","QA Playground Full Automation Sequence","","",""
"","5322","TC09: Dynamic Drag and Drop - Drag all images to drop area and verify","","Mon Oct 13 14:29:37 IST 2025","passed","Mon Oct 13 14:29:42 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Drag and Drop Functionality","","",""
"","3968","TC24: Add expense entry and verify total","","Mon Oct 13 14:29:59 IST 2025","passed","Mon Oct 13 14:30:03 IST 2025","QA Playground Full Automation Sequence","","",""
"","3172","TC06: Enter incorrect code ""1"" and verify success message NOT visible","","Mon Oct 13 14:29:43 IST 2025","passed","Mon Oct 13 14:29:46 IST 2025","QA Playground Full Automation Sequence","","",""
"","6928","TC08: Static Drag and Drop - Drag all images to drop area and verify","","Mon Oct 13 14:29:37 IST 2025","passed","Mon Oct 13 14:29:44 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Drag and Drop Functionality","","",""
"","3220","TC13: Adding invalid/special characters in tag","","Mon Oct 13 14:29:47 IST 2025","passed","Mon Oct 13 14:29:50 IST 2025","QA Playground Full Automation Sequence","","",""
"","5468","TC04: Prompt Alert - Enter text and click OK, verify message","","Mon Oct 13 14:29:31 IST 2025","passed","Mon Oct 13 14:29:36 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Alert Functionality","","",""
"","7002","TC16: Open new browser tab and verify welcome text","","Mon Oct 13 14:29:50 IST 2025","passed","Mon Oct 13 14:29:57 IST 2025","QA Playground Full Automation Sequence","","",""
"","2807","TC30: Sortable List - Arrange items in correct order","","Mon Oct 13 14:30:03 IST 2025","passed","Mon Oct 13 14:30:06 IST 2025","QA Playground Full Automation Sequence","","",""
"","6273","TC01: Simple Alert - Verify alert can be accepted","","Mon Oct 13 14:29:30 IST 2025","passed","Mon Oct 13 14:29:37 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Alert Functionality","","",""
"","3062","TC11: Adding duplicate tag should not increase count","","Mon Oct 13 14:29:46 IST 2025","passed","Mon Oct 13 14:29:50 IST 2025","QA Playground Full Automation Sequence","","",""
"","3604","TC22: Download a file and verify name & size","","Mon Oct 13 14:29:58 IST 2025","passed","Mon Oct 13 14:30:02 IST 2025","QA Playground Full Automation Sequence","","",""
"","6562","TC26: Click navigation menu items and verify headers","","Mon Oct 13 14:30:02 IST 2025","passed","Mon Oct 13 14:30:08 IST 2025","QA Playground Full Automation Sequence","","",""
"","3269","TC12: Adding tags beyond max limit should be prevented","","Mon Oct 13 14:29:47 IST 2025","passed","Mon Oct 13 14:29:50 IST 2025","QA Playground Full Automation Sequence","","",""
"","8603","TC17: Open popup, close it, and verify success message","","Mon Oct 13 14:29:50 IST 2025","passed","Mon Oct 13 14:29:59 IST 2025","QA Playground Full Automation Sequence","","",""
"","6267","TC15: Open ""Animals"", verify submenu and click first animal to check URL","","Mon Oct 13 14:29:49 IST 2025","passed","Mon Oct 13 14:29:55 IST 2025","QA Playground Full Automation Sequence","","",""
"","6772","TC05: Prompt Alert - Click Cancel and verify message is not displayed","","Mon Oct 13 14:29:31 IST 2025","passed","Mon Oct 13 14:29:38 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Alert Functionality","","",""
"","7936","TC18: Verify message visible after clicking button inside nested iframe","","Mon Oct 13 14:29:50 IST 2025","passed","Mon Oct 13 14:29:58 IST 2025","QA Playground Full Automation Sequence","","",""
"","4885","TC28: Move slider until Send Feedback visible, click it, verify thank you message","","Mon Oct 13 14:30:03 IST 2025","passed","Mon Oct 13 14:30:07 IST 2025","QA Playground Full Automation Sequence","","",""
"","6235","TC03: Confirm Alert - Click Cancel and verify cancellation","","Mon Oct 13 14:29:30 IST 2025","passed","Mon Oct 13 14:29:37 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Alert Functionality","","",""
"","3110","TC20: Click covered button and verify success","","Mon Oct 13 14:29:55 IST 2025","passed","Mon Oct 13 14:29:59 IST 2025","QA Playground Full Automation Sequence","","",""
"","3314","TC05: Enter code ""9"" and check success message","","Mon Oct 13 14:29:43 IST 2025","passed","Mon Oct 13 14:29:46 IST 2025","QA Playground Full Automation Sequence","","",""
"","3003","TC07: Enter empty code and verify success message not visible","","Mon Oct 13 14:29:44 IST 2025","passed","Mon Oct 13 14:29:47 IST 2025","QA Playground Full Automation Sequence","","",""
"","4891","TC03: Ensure only one Spider-Man row exists","","Mon Oct 13 14:29:38 IST 2025","passed","Mon Oct 13 14:29:43 IST 2025","QA Playground Full Automation Sequence","","",""
"","4036","TC23: Add income entry and verify total","","Mon Oct 13 14:29:59 IST 2025","passed","Mon Oct 13 14:30:03 IST 2025","QA Playground Full Automation Sequence","","",""
"","3145","TC29: Close modal popup if displayed and assert welcome message","","Mon Oct 13 14:30:03 IST 2025","passed","Mon Oct 13 14:30:06 IST 2025","QA Playground Full Automation Sequence","","",""
"","3054","TC25: Hover over movie poster and verify details","","Mon Oct 13 14:30:00 IST 2025","passed","Mon Oct 13 14:30:03 IST 2025","QA Playground Full Automation Sequence","","",""
"","6667","TC06: File Upload - Upload a file and verify success","","Mon Oct 13 14:29:31 IST 2025","passed","Mon Oct 13 14:29:37 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > File Upload and Download","","",""
"","3065","TC08: Add multiple tags and verify counts","","Mon Oct 13 14:29:44 IST 2025","passed","Mon Oct 13 14:29:47 IST 2025","QA Playground Full Automation Sequence","","",""
"","5630","TC02: Verify Spider-Man row shows correct real name","","Mon Oct 13 14:29:38 IST 2025","passed","Mon Oct 13 14:29:44 IST 2025","QA Playground Full Automation Sequence","","",""
"","9578","TC27: Click Boost button in Shadow DOM and verify progress","","Mon Oct 13 14:30:02 IST 2025","passed","Mon Oct 13 14:30:11 IST 2025","QA Playground Full Automation Sequence","","",""
"","3771","TC01: Open Mini Web Apps section and verify ""Full Courses"" link","","Mon Oct 13 14:29:37 IST 2025","passed","Mon Oct 13 14:29:41 IST 2025","QA Playground Full Automation Sequence","","",""
"","7279","TC19: Click each star and verify emoji","","Mon Oct 13 14:29:54 IST 2025","passed","Mon Oct 13 14:30:02 IST 2025","QA Playground Full Automation Sequence","","",""
"","5725","TC14: Open ""Settings"", verify submenu and click HTML to check URL","","Mon Oct 13 14:29:49 IST 2025","passed","Mon Oct 13 14:29:54 IST 2025","QA Playground Full Automation Sequence","","",""
"","3179","TC09: Remove a tag and verify updated count","","Mon Oct 13 14:29:45 IST 2025","passed","Mon Oct 13 14:29:49 IST 2025","QA Playground Full Automation Sequence","","",""
"","5759","TC02: Confirm Alert - Click OK and verify confirmation","","Mon Oct 13 14:29:30 IST 2025","passed","Mon Oct 13 14:29:36 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > Alert Functionality","","",""
"","3110","TC10: Add empty tag should not be allowed","","Mon Oct 13 14:29:46 IST 2025","passed","Mon Oct 13 14:29:49 IST 2025","QA Playground Full Automation Sequence","","",""
"","31692","TC07: File Download - Generate TXT file, download, and verify content","","Mon Oct 13 14:29:37 IST 2025","broken","Mon Oct 13 14:30:08 IST 2025","Web Component Functionality Tests in Automation Demo Site Application > File Upload and Download","","",""
